nome,instituicao_ensino_aluno,idade_aluno,anos_pm,fase,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,dt_pst
ALUNO-1,Escola Pública,11,2,2H,Não,7.883752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,8.7,7.5,7,5.9375,7.75,10,2020,2025-01-19
ALUNO-3,Escola Pública,12,2,3H,Não,7.856389666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.9,7.5,5.5,8.125,8.111113333333334,10,2020,2025-01-19
ALUNO-4,Escola Pública,10,2,1D,Não,5.076252,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,4.1,6.875,0,7.1875,7.75,5,2020,2025-01-19
ALUNO-5,Escola Pública,10,1,2M,Não,8.077085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8,7.5,7.5,8.4375,8.166665,10,2020,2025-01-19
ALUNO-8,Rede Decisão/União,14,3,4L,Sim,8.381390666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.9,4.375,7.333333333333333,8.749999999999998,8.94445,10,2020,2025-01-19
ALUNO-10,Escola Pública,13,1,3B,Não,5.1618745,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.83333,5.2,3.75,0,7.96875,6.8333325,10,2020,2025-01-19
ALUNO-11,Escola Pública,8,0,0A,Sim,9.712504000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10,8.125,10,10,10.00001,10,2020,2025-01-19
ALUNO-12,Rede Decisão/União,14,3,3G,Não,5.838887333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.25,6,5.625,6.666666666666667,5.624999999999999,5.277770000000001,5,2020,2025-01-19
ALUNO-14,Escola Pública,11,2,2M,Não,6.434585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,7.6,6.875,0,8.4375,7.916665,10,2020,2025-01-19
ALUNO-15,Escola Pública,12,1,2D,Não,5.162502,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,4,7.5,0,8.125,7.25,5,2020,2025-01-19
ALUNO-17,Escola Pública,13,2,1G,Não,7.766252,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,6.8,7.5,10,6.5625,7.75,5,2020,2025-01-19
ALUNO-18,Escola Pública,14,3,3E,Não,7.2055576666666665,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,7,7.5,6.5,7.083333333333334,7.944446666666665,5,2020,2025-01-19
ALUNO-28,Rede Decisão/União,13,2,3J,Sim,9.354725666666667,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,9.6,6.875,9,10,9.944453333333334,10,2020,2025-01-19
ALUNO-30,Escola Pública,7,0,0C,Não,7.125001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.9166799999999995,10,7.5,4.75,2.5,6.916665,10,2020,2025-01-19
ALUNO-33,Escola Pública,13,0,3E,Não,7.013888333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.66667,4.5,7.5,8.666666666666666,7.083333333333334,6.277773333333332,10,2020,2025-01-19
ALUNO-34,Escola Pública,12,2,2C,Não,7.698890666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,9.3,6.875,7,8.125,7.944443333333334,5,2020,2025-01-19
ALUNO-35,Escola Pública,18,3,7B,Não,6.64396,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,6.1,6.25,5,7.65625,8.29167,5,2020,2025-01-19
ALUNO-36,Escola Pública,14,1,3C,Não,8.307780333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,9.9,7.5,8,8.749999999999998,8.222226666666668,5,2020,2025-01-19
ALUNO-37,Escola Pública,10,2,2N,Não,6.6788913333333335,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,7.7,4.375,2.5,6.458333333333333,7.77778,10,2020,2025-01-19
ALUNO-39,Escola Pública,13,3,3F,Não,8.131388333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.24999,9.4,7.5,8.333333333333334,8.541666666666666,6.777780000000001,10,2020,2025-01-19
ALUNO-41,Escola Pública,11,0,1D,Não,7.460002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.3,7.5,7.25,7.5,7.75,5,2020,2025-01-19
ALUNO-43,Escola Pública,13,2,4F,Não,7.8052090000000005,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,7.5,7.5,7,7.96875,8.04167,10,2020,2025-01-19
ALUNO-44,Escola Pública,9,0,1M,Não,6.218335,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,6.8,7.5,0,6.25,7.916665,10,2020,2025-01-19
ALUNO-45,Escola Pública,11,1,1G,Não,6.631252,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,1,7.5,10,7.8125,7.75,5,2020,2025-01-19
ALUNO-46,Escola Pública,8,0,0C,Não,6.966669,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500020000000001,10,7.5,0,7.5,7.583335,10,2020,2025-01-19
ALUNO-51,Escola Pública,8,1,0D,Não,8.955835,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500020000000001,9.8,7.5,10,8.125,7.416665,10,2020,2025-01-19
ALUNO-52,Escola Pública,10,2,2F,Não,8.181112666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,8.6,6.25,7,7.916666666666668,8.22222,10,2020,2025-01-19
ALUNO-53,Einstein,15,4,5X,,8.696667999999999,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,10,7.5,8.2,0,0,10,2020,2025-01-19
ALUNO-55,Rede Decisão/União,17,3,6C,Sim,6.878125166666666,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0,9,7.5,6.333333333333333,8.28125,8.666667499999999,5,2020,2025-01-19
ALUNO-57,Rede Decisão/União,16,2,6B,Não,7.311667166666667,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,7.1,6.25,5.833333333333333,7.5,7.5833325,10,2020,2025-01-19
ALUNO-59,Escola Pública,13,0,3E,Não,6.563055666666668,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,3.6,7.5,6,7.291666666666667,6.444439999999998,10,2020,2025-01-19
ALUNO-60,Rede Decisão/União,17,4,5F,Não,7.679582333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.7,6.875,6.666666666666667,8.4375,8.124995,5,2020,2025-01-19
ALUNO-61,Escola Pública,10,0,1N,Não,5.604168666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.5,7.5,0,6.875,7.333333333333333,5,2020,2025-01-19
ALUNO-62,Escola Pública,12,0,2L,Não,6.330001333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.9166799999999995,6.9,7.5,3.5,7.083333333333333,7.5,5,2020,2025-01-19
ALUNO-68,Escola Pública,10,0,1F,Não,5.988752,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.6,7.5,0,7.1875,8,5,2020,2025-01-19
ALUNO-71,Escola Pública,10,1,0A,Não,7.550001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10,5,9.5,2.5,7.749995,5,2020,2025-01-19
ALUNO-75,Rede Decisão/União,11,1,3L,Sim,9.687504,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,10,10,9,9.375,9.75001,10,2020,2025-01-19
ALUNO-76,Escola Pública,7,0,0B,Não,8.958334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.91668,10,10,10,7.5,6.58333,10,2020,2025-01-19
ALUNO-78,Escola Pública,10,3,1A,Não,7.352085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,9,7.5,5.5,7.1875,7.666665,5,2020,2025-01-19
ALUNO-80,Escola Pública,10,1,2N,Não,6.499723333333334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.9166799999999995,9.2,7.5,0,7.291666666666667,7.444443333333333,10,2020,2025-01-19
ALUNO-81,Escola Pública,15,1,4L,Sim,7.386391000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,5.41667,8.8,7.5,6,8.125,9.11112,5,2020,2025-01-19
ALUNO-82,Escola Pública,9,0,0D,Não,7.954169,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10,7.5,8.5,6.875,7.333335,5,2020,2025-01-19
ALUNO-83,Rede Decisão/União,14,4,4B,Sim,8.155003333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.4,5.625,5.333333333333333,8.958333333333332,9.166676666666666,10,2020,2025-01-19
ALUNO-84,Escola Pública,8,0,0B,Não,8.750001000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10,10,8.5,7.5,6.999995,10,2020,2025-01-19
ALUNO-85,Escola Pública,9,1,0D,Não,7.263334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,9.9,2.5,10,2.5,6.66666,5,2020,2025-01-19
ALUNO-86,Escola Pública,17,1,6A,Não,5.688333833333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,4.9,7.5,3.6666666666666665,7.5,5.7083325,5,2020,2025-01-19
ALUNO-87,Rede Decisão/União,14,4,4L,Sim,8.188612666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.2,5.625,6.666666666666667,8.749999999999998,8.722226666666666,10,2020,2025-01-19
ALUNO-88,Rede Decisão/União,11,2,2D,Sim,9.040420000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,9.4,7.5,9.5,5.9375,9.58334,10,2020,2025-01-19
ALUNO-89,Escola Pública,9,1,0G,Não,7.937502,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.000020000000001,10,7.5,7.5,6.875,7.5,5,2020,2025-01-19
ALUNO-90,Escola Pública,14,1,3M,Não,7.073542833333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,5.8,7.5,7.666666666666667,7.96875,7.5000025,5,2020,2025-01-19
ALUNO-91,Escola Pública,10,2,2H,Não,6.846668,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,6.4,6.875,4.5,5.625,7.58333,10,2020,2025-01-19
ALUNO-94,Escola Pública,12,1,3B,Não,6.7552085,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.08333,6,7.5,4,7.96875,7.5000025,10,2020,2025-01-19
ALUNO-95,Escola Pública,15,1,3A,Não,7.336876333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,8.2,7.5,6.666666666666667,7.96875,6.791665,5,2020,2025-01-19
ALUNO-96,Escola Pública,18,1,7A,Sim,6.432500999999999,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,6.1,6.875,3,7.5,8.791664999999998,5,2020,2025-01-19
ALUNO-97,Escola Pública,12,2,2D,Não,7.393752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,8,7.5,6,8.4375,7.75,5,2020,2025-01-19
ALUNO-100,Escola Pública,12,2,1M,Não,6.908335000000001,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.5,4.375,7.5,6.875,7.916665,5,2020,2025-01-19
ALUNO-102,Escola Pública,9,0,1J,Não,7.966668666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,8.5,7.5,7,7.5,7.833333333333333,10,2020,2025-01-19
ALUNO-103,Escola Pública,8,0,0F,Não,8.597919000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10,7.5,8.5,7.8125,7.333335,10,2020,2025-01-19
ALUNO-105,Escola Pública,13,0,3B,Não,8.516877,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.6,7.5,8,7.96875,7.66667,10,2020,2025-01-19
ALUNO-106,Escola Pública,10,0,0H,Não,8.450002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,10,7.5,10,7.5,7.5,5,2020,2025-01-19
ALUNO-111,Escola Pública,14,0,3L,Não,6.8535425,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,7.7,7.5,4.5,7.96875,7.8750025,5,2020,2025-01-19
ALUNO-112,Escola Pública,14,2,3H,Não,6.448887666666667,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,6.8,4.375,5.333333333333333,7.708333333333334,7.611103333333333,5,2020,2025-01-19
ALUNO-113,Escola Pública,11,1,1M,Não,7.693335000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.8,7.5,7.5,7.5,7.916665,5,2020,2025-01-19
ALUNO-115,Escola Pública,15,1,4A,Não,5.331389333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,1.9,6.875,5.166666666666667,7.916666666666667,5.111106666666666,5,2020,2025-01-19
ALUNO-117,Escola Pública,10,0,1M,Não,8.032085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.9,7.5,9.5,7.1875,7.916665,5,2020,2025-01-19
ALUNO-118,Escola Pública,8,1,1D,Não,8.342085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,7.7,7.5,10,7.1875,7.416665,10,2020,2025-01-19
ALUNO-120,Escola Pública,9,1,0A,Não,7.895835000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,10,8.125,9.5,2.5,7.666665,5,2020,2025-01-19
ALUNO-125,Escola Pública,10,0,1C,Não,7.187502,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,9,7.5,5,7.708333333333334,7.333333333333333,5,2020,2025-01-19
ALUNO-128,Escola Pública,9,1,0G,Não,5.854169000000001,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.4166799999999995,10,5.625,5.5,2.5,3.500005,5,2020,2025-01-19
ALUNO-132,Escola Pública,14,3,4F,Não,7.344792,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,6.5,7.5,6,8.28125,6.95833,10,2020,2025-01-19
ALUNO-133,Escola Pública,10,1,0D,Não,8.428752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.000020000000001,9.8,7.5,10,7.1875,7.5,5,2020,2025-01-19
ALUNO-135,Escola Pública,9,1,1A,Não,7.798752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,8.4,7.5,6.5,7.1875,7.25,10,2020,2025-01-19
ALUNO-136,Escola Pública,16,2,5A,Não,4.643056,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,4,4.375,2,6.666666666666667,5.444446666666667,5,2020,2025-01-19
ALUNO-139,Escola Pública,17,0,5L,Não,6.105834000000001,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,5.8,7.5,4.333333333333333,8.125,5.499996666666667,5,2020,2025-01-19
ALUNO-145,Rede Decisão/União,17,1,7B,Sim,8.345001166666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,9.1,7.5,7.333333333333333,7.5,8.8333375,10,2020,2025-01-19
ALUNO-146,Escola Pública,9,2,1C,Não,6.385835333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,7.2,7.5,0,7.291666666666667,7.333333333333333,10,2020,2025-01-19
ALUNO-147,Escola Pública,13,1,2C,Não,5.934724000000001,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8,7.5,0,7.291666666666667,7.277776666666666,5,2020,2025-01-19
ALUNO-149,Escola Pública,16,1,6B,Não,7.131667,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,8.7,5.625,3,8.125,8.333335,10,2020,2025-01-19
